Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0.0598,357.5,1499.1763,4.194,0.000299871
0.06,355.5,1490.9669,4.194,0.000298193
0.0602,363,1522.785,4.194,0.000304484
0.0604,367.5,1540.7438,4.194,0.000308259
0.0606,383,1605.7275,4.194,0.00032126
0.0608,348,1458.99,4.194,0.000291902
0.061,368.5,1544.9363,4.194,0.000309098
0.0612,363.5,1523.9738,4.194,0.000304904
0.0614,358,1500.915,4.194,0.00030029
0.0616,348.5,1461.0863,4.194,0.000292322
0.0618,364.5,1529.0775,4.194,0.000305743
0.062,362.5,1520.6876,4.194,0.000304065
0.0622,357.5,1499.7125,4.194,0.000299871
0.0624,349.5,1466.1526,4.194,0.000293161
0.0626,358.5,1503.0112,4.194,0.00030071
0.0628,367.5,1540.3763,4.194,0.000308259
0.063,385.5,1616.2087,4.194,0.000323357
0.0632,366.5,1536.9177,4.194,0.00030742
0.0634,358.5,1503.3698,4.194,0.00030071
0.0636,318.5,1335.6298,4.194,0.000267158
0.0638,311.5,1306.2753,4.194,0.000261286
0.064,293,1228.4026,4.194,0.000245768
0.0642,308,1291.598,4.194,0.00025835
0.0644,312,1308.3721,4.194,0.000261706
0.0646,312,1308.8401,4.194,0.000261706
0.0648,296,1241.276,4.194,0.000248285
0.065,290.5,1218.2118,4.194,0.000243671
0.0652,293.5,1230.7922,4.194,0.000246188
0.0654,294,1232.889,4.194,0.000246607
0.0656,292.5,1226.3063,4.194,0.000245349
0.0658,320,1341.92,4.194,0.000268416
0.066,339,1421.5966,4.194,0.000284353
0.0662,337.5,1415.8125,4.194,0.000283095
0.0664,326.5,1369.1777,4.194,0.000273868
0.0666,317,1329.3395,4.194,0.0002659
0.0668,340,1425.79,4.194,0.000285192
0.067,339,1421.2576,4.194,0.000284353
0.0672,351.5,1473.6638,4.194,0.000294838
0.0674,446.5,1873.0676,4.194,0.000374524
0.0676,338,1417.403,4.194,0.000283514
0.0678,361.5,1515.5887,4.194,0.000303226
0.068,434,1820.1959,4.194,0.000364039
0.0682,423,1773.8505,4.194,0.000354812
0.0684,425.5,1784.9725,4.194,0.000356909
0.0686,329,1379.6615,4.194,0.000275965
0.0688,324,1358.856,4.194,0.000271771
0.069,301,1261.9425,4.194,0.000252479
0.0692,319,1337.7266,4.194,0.000267577
0.0694,385,1614.1125,4.194,0.000322938
0.0696,438.5,1839.5076,4.194,0.000367814
0.0698,323.5,1356.5973,4.194,0.000271352
0.07,272.5,1142.7288,4.194,0.000228573
0.0702,276.5,1159.5028,4.194,0.000231928
0.0704,257.5,1079.8263,4.194,0.000215991
0.0706,230,964.6199,4.194,0.000192924
0.0708,239.5,1004.3433,4.194,0.000200893
0.071,249,1044.3059,4.194,0.000208861
0.0712,249,1044.5551,4.194,0.000208861
0.0714,234,981.279,4.194,0.000196279
0.0716,236,989.666,4.194,0.000197957
0.0718,248.5,1042.209,4.194,0.000208442
0.072,249,1044.1815,4.194,0.000208861
0.0722,236.5,991.7628,4.194,0.000198376
0.0724,233.5,979.299,4.194,0.00019586
0.0726,248,1039.988,4.194,0.000208022
0.0728,249,1044.3059,4.194,0.000208861
0.073,239.5,1004.7025,4.194,0.000200893
0.0732,231,968.6985,4.194,0.000193763
0.0734,251.5,1054.6653,4.194,0.000210958
0.0736,249,1044.1815,4.194,0.000208861
0.0738,242,1014.827,4.194,0.00020299
0.074,228,956.118,4.194,0.000191246
0.0742,248,1039.988,4.194,0.000208022
0.0744,249,1044.3059,4.194,0.000208861
0.0746,244.5,1025.3108,4.194,0.000205087
0.0748,227,951.9245,4.194,0.000190408
0.075,247,1035.7946,4.194,0.000207184
0.0752,253.5,1063.0524,4.194,0.000212636
0.0754,241.5,1012.851,4.194,0.00020257
0.0756,226.5,949.6013,4.194,0.000189988
0.0758,244.5,1025.3108,4.194,0.000205087
0.076,248.5,1042.0847,4.194,0.000208442
0.0762,248,1040.36,4.194,0.000208022
0.0764,228.5,957.9863,4.194,0.000191666
0.0766,243,1019.142,4.194,0.000203828
0.0768,248.5,1042.0847,4.194,0.000208442
0.077,248.5,1042.209,4.194,0.000208442
0.0772,230,964.505,4.194,0.000192924
0.0774,239.5,1004.3433,4.194,0.000200893
0.0776,248.5,1042.209,4.194,0.000208442
0.0778,249,1044.1815,4.194,0.000208861
0.078,232.5,975.1049,4.194,0.000195021
0.0782,236.5,991.8809,4.194,0.000198376
0.0784,248,1039.988,4.194,0.000208022
0.0786,249,1044.1815,4.194,0.000208861
0.0788,235,985.4725,4.194,0.000197118
0.079,233.5,979.1823,4.194,0.00019586
0.0792,248,1039.988,4.194,0.000208022
0.0794,249,1044.1815,4.194,0.000208861
0.0796,239.5,1004.463,4.194,0.000200893
