Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
0.0594,225,943.5375,4.1935
0.0596,224.5,941.4407,4.1935
0.0598,224.5,941.2162,4.1925
0.0600,232,972.892,4.1935
0.0602,214.5,899.5057,4.1935
0.0604,195,817.5375,4.1925
0.0606,197,825.9225,4.1925
0.0608,223.5,937.2473,4.1935
0.0610,237.5,995.9562,4.1935
0.0612,211,884.8285,4.1935
0.0614,182,763.035,4.1925
0.0616,206,863.861,4.1935
0.0618,197,825.9225,4.1925
0.0620,190.5,798.8618,4.1935
0.0622,165.5,693.6933,4.1915
0.0624,189.5,794.7629,4.194
0.0626,200,838.7,4.1935
0.0628,197.5,828.2162,4.1935
0.0630,178.5,748.3613,4.1925
0.0632,194.5,815.733,4.194
0.0634,198,830.313,4.1935
0.0636,194.5,815.6357,4.1935
0.0638,182.5,764.9488,4.1915
0.0640,186.5,782.0878,4.1935
0.0642,200.5,840.7968,4.1935
0.0644,217.5,912.0862,4.1935
0.0646,201.5,845.0909,4.194
0.0648,216,905.796,4.1935
0.0650,213,893.0025,4.1925
0.0652,192,805.152,4.1935
0.0654,169,708.7015,4.1935
0.0656,167,700.1475,4.1925
0.0658,180,754.65,4.1925
0.0660,181,759.0235,4.1935
0.0662,183.5,769.5989,4.194
0.0664,163,683.3775,4.1925
0.0666,206,863.655,4.1925
0.0668,210,880.635,4.1935
0.0670,196,821.926,4.1935
0.0672,180,754.83,4.1935
0.0674,196,821.926,4.1935
0.0676,204,855.474,4.1935
0.0678,191,800.9585,4.1935
0.0680,175.5,735.7838,4.1925
0.0682,191,800.9585,4.1935
0.0684,197.5,828.2162,4.1935
0.0686,190,796.765,4.1935
0.0688,185,775.6125,4.1925
0.0690,212.5,891.1188,4.1935
0.0692,212,889.022,4.1935
0.0694,200,838.7,4.1935
0.0696,175.5,735.7838,4.1925
0.0698,194.5,815.6357,4.1935
0.0700,212,889.022,4.1935
0.0702,217.5,912.0862,4.1935
0.0704,189,792.5715,4.1935
0.0706,172.5,723.3788,4.1935
0.0708,194.5,815.6357,4.1935
0.0710,193,809.3455,4.1935
0.0712,185.5,777.8943,4.1935
0.0714,220.5,924.6667,4.1935
0.0716,240.5,1008.5367,4.1935
0.0718,246,1031.355,4.1925
0.0720,309.5,1297.5787,4.1925
0.0722,355.5,1490.7893,4.1935
0.0724,295.5,1239.1793,4.1935
0.0726,264.5,1108.9163,4.1925
0.0728,231,968.6985,4.1935
0.0730,225,943.5375,4.1935
0.0732,231,968.4675,4.1925
0.0734,245.5,1029.2588,4.1925
0.0736,230.5,966.6017,4.1935
0.0738,209.5,878.5383,4.1935
0.0740,233,976.8525,4.1925
0.0742,243.5,1020.8738,4.1925
0.0744,240,1006.44,4.1935
0.0746,208,872.248,4.1935
0.0748,231.5,970.5638,4.1925
0.0750,240.5,1008.5367,4.1935
0.0752,229.5,962.4083,4.1935
0.0754,169,708.7015,4.1935
0.0756,185.5,777.8943,4.1935
0.0758,191.5,803.0552,4.1935
0.0760,191.5,803.0552,4.1935
0.0762,170.5,714.9918,4.1935
0.0764,164.5,689.8307,4.1935
0.0766,166.5,698.0513,4.1925
0.0768,166.5,698.301,4.194
0.0770,149.5,626.9283,4.1935
0.0772,149,624.8315,4.1935
0.0774,168,704.508,4.1935
0.0776,172,721.282,4.1935
0.0778,174,729.669,4.1935
0.0780,146,612.251,4.1935
0.0782,167,700.1475,4.1925
0.0784,166.5,698.2178,4.1935
0.0786,157.5,660.4763,4.1935
0.0788,144,603.864,4.1935
0.0790,188,788.378,4.1935
0.0792,199,834.3075,4.1925
0.0794,203.5,853.3773,4.1935
0.0796,192,805.152,4.1935
0.0798,222.5,932.8313,4.1925
0.0800,218,913.965,4.1925
0.0802,197.5,828.3149,4.194
0.0804,152.5,639.2038,4.1915
0.0806,218.5,916.0613,4.1925
0.0808,270,1132.245,4.1935
0.0810,250.5,1050.4718,4.1935
0.0812,189,792.3825,4.1925
0.0814,208,872.248,4.1935
0.0816,220,922.35,4.1925
0.0818,232.5,975.1049,4.194
0.0820,202.5,849.1838,4.1935
0.0822,203.5,853.3773,4.1935
0.0824,212.5,891.1188,4.1935
0.0826,201,842.8935,4.1935
0.0828,193.5,811.4423,4.1935
0.0830,197.5,828.2162,4.1935
0.0832,212.5,891.1188,4.1935
0.0834,210,880.635,4.1935
0.0836,190.5,798.6713,4.1925
0.0838,192.5,807.0563,4.1925
0.0840,227,951.6975,4.1925
0.0842,232.5,974.7563,4.1925
0.0844,222.5,933.0538,4.1935
0.0846,218.5,916.2798,4.1935
0.0848,235,985.4725,4.1935
0.0850,215,901.6025,4.1935
0.0852,171,717.0885,4.1935
0.0854,160.5,673.0568,4.1935
0.0856,194,813.345,4.1925
0.0858,199.5,836.6033,4.1935
0.0860,183.5,769.5073,4.1935
0.0862,174.5,731.5912,4.1925
0.0864,202.5,849.1838,4.1935
0.0866,202,847.087,4.1935
0.0868,194.5,815.6357,4.1935
0.0870,171,717.0885,4.1935
0.0872,167,700.3145,4.1935
0.0874,160,670.96,4.1935
0.0876,168,704.508,4.1935
0.0878,169.5,710.6288,4.1925
0.0880,203.5,853.3773,4.1935
0.0882,216,905.58,4.1925
0.0884,212.5,891.1188,4.1935
0.0886,197.5,828.2162,4.1935
0.0888,197,825.9225,4.1925
0.0890,216,905.58,4.1925
0.0892,228.5,958.2148,4.1935
0.0894,200.5,840.7968,4.1935
0.0896,198.5,832.2112,4.1925
0.0898,224.5,941.4407,4.1935
0.0900,217.5,911.8688,4.1925
0.0902,211,884.934,4.194
0.0904,201.5,844.7888,4.1925
0.0906,262,1098.4351,4.1925
0.0908,260,1090.3101,4.1935
0.0910,261.5,1096.731,4.194
0.0912,242,1014.585,4.1925
0.0914,262.5,1100.5312,4.1925
0.0916,255.5,1071.1837,4.1925
0.0918,242,1014.827,4.1935
0.0920,201,842.6925,4.1925
0.0922,219.5,920.4733,4.1935
0.0924,223.5,937.2473,4.1935
0.0926,217.5,912.0862,4.1935
0.0928,196.5,823.8263,4.1925
0.0930,197.5,828.0188,4.1925
0.0932,199,834.5065,4.1935
0.0934,189,792.666,4.194
0.0936,168.5,706.4363,4.1925
0.0938,178,746.443,4.1935
0.0940,191,800.9585,4.1935
0.0942,208.5,874.3448,4.1935
0.0944,190.5,798.8618,4.1935
0.0946,170,712.895,4.1935
0.0948,178,746.443,4.1935
0.0950,177.5,744.3463,4.1935
0.0952,169,708.5325,4.1925
0.0954,180,754.83,4.1935
0.0956,214,897.195,4.1925
0.0958,224.5,941.4407,4.1935
0.0960,194,813.539,4.1935
0.0962,180.5,756.7463,4.1925
0.0964,200,838.5,4.1925
0.0966,209.5,878.5383,4.1935
0.0968,202.5,849.1838,4.1935
0.0970,198,830.1151,4.1925
0.0972,248.5,1042.0847,4.1935
0.0974,279.5,1172.0833,4.1935
0.0976,294,1232.5951,4.1925
0.0978,290.5,1218.2118,4.1935
0.0980,289,1211.6326,4.1925
0.0982,311,1303.8676,4.1925
0.0984,260,1090.05,4.1925
0.0986,199.5,836.4037,4.1925
0.0988,201.5,844.9902,4.1935
0.0990,208.5,874.1363,4.1925
0.0992,207.5,870.1512,4.1935
0.0994,183.5,769.3238,4.1925
0.0996,203.5,853.3773,4.1935
0.0998,210.5,882.5213,4.1925
0.1000,210,880.7399,4.194
0.1002,191,800.9585,4.1935
0.1004,199,834.5065,4.1935
0.1006,211,884.6176,4.1925
0.1008,211.5,886.9252,4.1935
0.1010,191.5,803.1509,4.194
0.1012,194,813.539,4.1935
0.1014,214.5,899.2913,4.1925
0.1016,223.5,937.0238,4.1925
0.1018,215.5,903.6993,4.1935
0.1020,198.5,832.4097,4.1935
0.1022,238.5,1000.1498,4.1935
0.1024,226,947.731,4.1935
0.1026,222,931.29,4.195
0.1028,197.5,828.2162,4.1935
0.1030,212.5,890.9062,4.1925
0.1032,219,918.1575,4.1925
0.1034,251,1052.0665,4.1915
0.1036,369,1547.4015,4.1935
0.1038,366.5,1536.5513,4.1925
0.1040,335,1404.4875,4.1925
0.1042,330.5,1385.6213,4.1925
0.1044,332.5,1393.6738,4.1915
0.1046,364.5,1528.1663,4.1925
0.1048,369.5,1549.1288,4.1925
0.1050,370.5,1553.6918,4.1935
0.1052,350,1467.375,4.1925
0.1054,349,1463.1825,4.1925
0.1056,391.5,1641.3638,4.1925
0.1058,403.5,1692.0773,4.1935
0.1060,407,1706.7545,4.1935
0.1062,409,1713.9144,4.1905
0.1064,501.5,2103.0403,4.1935
0.1066,497,2083.1755,4.1915
0.1068,517,2167.0056,4.1915
0.1070,547,2293.2976,4.1925
0.1072,541.5,2270.2388,4.1925
0.1074,512,2146.0481,4.1915
0.1076,539.5,2261.8538,4.1925
0.1078,464,1944.16,4.19
0.1080,580,2431.6501,4.1925
0.1082,633,2653.8525,4.1925
0.1084,742.5,3112.189,4.1915
0.1086,913,3826.8396,4.1915
0.1088,924.5,3875.042,4.1915
0.1090,919,3852.9077,4.1925
0.1092,883,3701.9775,4.1925
0.1094,831.5,3486.064,4.1925
0.1096,794,3328.0513,4.1915
0.1098,824,3455.8557,4.194
0.1100,778.5,3263.8613,4.1925
0.1102,880,3690.7197,4.194
0.1104,759.5,3184.2039,4.1925
