Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0.0358,412.5,1729.8187,4.195,0.000346087
0.036,373.5,1565.8988,4.195,0.000313367
0.0362,435,1823.7375,4.195,0.000364965
0.0364,460.5,1931.1068,4.195,0.000386359
0.0366,431,1808.045,4.195,0.000361609
0.0368,337,1413.2095,4.195,0.000282743
0.037,375.5,1574.2838,4.195,0.000315044
0.0372,408,1710.948,4.195,0.000342312
0.0374,443,1857.7205,4.195,0.000371677
0.0376,390,1635.465,4.195,0.00032721
0.0378,380,1593.15,4.195,0.00031882
0.038,379,1589.3365,4.195,0.000317981
0.0382,413,1731.9155,4.195,0.000346507
0.0384,432.5,1813.2563,4.195,0.000362868
0.0386,490,2054.8149,4.195,0.00041111
0.0388,470,1970.9451,4.195,0.00039433
0.039,465,1949.9775,4.195,0.000390135
0.0392,463.5,1943.2238,4.195,0.000388876
0.0394,522.5,2190.5813,4.195,0.000438378
0.0396,551.5,2312.7153,4.195,0.000462708
0.0398,494,2071.5891,4.195,0.000414466
0.04,466.5,1955.8013,4.195,0.000391393
0.0402,510,2138.6851,4.195,0.00042789
0.0404,521.5,2186.9102,4.195,0.000437538
0.0406,555.5,2329.4893,4.195,0.000466065
0.0408,522.5,2190.5813,4.195,0.000438377
0.041,528,2214.168,4.195,0.000442992
0.0412,495,2075.7825,4.195,0.000415305
0.0414,422,1769.2351,4.195,0.000354058
0.0416,409.5,1717.4429,4.195,0.00034357
0.0418,373.5,1565.8988,4.195,0.000313367
0.042,387,1622.8845,4.195,0.000324693
0.0422,388.5,1629.1748,4.195,0.000325951
0.0424,375.5,1574.8469,4.195,0.000315044
0.0426,372,1559.9821,4.195,0.000312108
0.0428,418.5,1755.6075,4.195,0.000351121
0.043,390.5,1637.1713,4.195,0.00032763
0.0432,378.5,1587.2397,4.195,0.000317561
0.0434,362,1517.6851,4.195,0.000303718
0.0436,386,1618.691,4.195,0.000323854
0.0438,400.5,1679.4968,4.195,0.000336019
0.044,425.5,1784.3342,4.195,0.000356995
0.0442,365,1530.6276,4.195,0.000306235
0.0444,378.5,1586.8613,4.195,0.000317561
0.0446,407.5,1708.8513,4.195,0.000341892
0.0448,380.5,1595.6267,4.195,0.000319239
0.045,362,1517.6851,4.195,0.000303718
0.0452,385,1614.4976,4.195,0.000323015
0.0454,384.5,1612.4008,4.195,0.000322595
0.0456,380.5,1595.6267,4.195,0.000319239
0.0458,367.5,1541.1112,4.195,0.000308332
